instance,of,seconds
10teams,916.9999999999999,119.859
116_205_1262_66,176.0000000000004,848.941
121_147_1345_33,119.99999999999977,677.797
121_147_1345_33_pp,120.0000000000004,354.754
22433,21240.52617079889,112.602
23588,7649.866133822498,113.094
23844-T1_0,376993.3333333333,416.551
2club200v15p5scn,-121.2222222222222,124.449
30_70_45_05_100,8.099999999999206,148.852
30n20b8,1.5664076455877114,152.930
50v-10,2879.0656868536717,116.895
a05100,1697.7272727272727,116.195
a10100,1358.556923076923,116.320
A-1,3100022.0,169.520
a2864-99blp,-282.9604743082995,1690.297
a2c1s1,730.2074999999998,124.012
A-2,5600038.0,214.914
A-4-cuts,43.89357640250216,237.691
A-5,105.06104855621797,255.891
academictimetablebig,25.444444444444443,656.059
academictimetablesmall,0.0,335.996
acc-tight2,0.0,124.238
acc-tight4,0.0,121.809
acc-tight5,0.0,134.789
adult-max5features,0.08131607920112323,200.191
air03,338864.25,140.617
air04,55535.4363882243,143.164
air05,25877.609267851418,134.188
aligninq,2654.7368022053315,119.555
allcolor10,6.0,179.699
allcolor58,42.00000000000001,391.773
app1-1,-22.824355359110093,125.125
app3,5627412.287938101,121.078
ash608gpia-3col,2.0,180.746
assign1-10-4,353.99292647113504,133.609
assign1-5-8,183.36255497382194,114.258
atlanta-ip,81.24319882513115,322.102
atm20-100,2141734.684877532,135.035
attfInst1,189.00000000000003,119.512
attfInst2,333.00000000000006,126.844
attfInst3,414.00000000000006,123.301
attfInst4,642.9999999999998,126.852
attfInstA,190.0,122.102
attfInstC,405.0,142.441
attfInstD,635.5000000000003,140.832
australia_ABS_L1-CTA,0.0,163.059
b2c1s1,4034.2183333333314,126.164
bab1,-286923.824223,281.422
bab2,-432165.72655860044,478.684
bab3,-733091.1804432153,849.008
bab5,-124657.6414132251,167.137
bab6,-321641.35874872236,309.828
bacasp,0.0,223.340
b-ball,-1.8181818181818181,111.758
beavma,155777.62784710378,113.328
bell5,8608417.946508028,112.152
berlin_5_8_0,52.0,118.949
bg512142,144364.0738152496,119.387
biella1,3060037.4307631077,142.016
bienst1,11.724137931034482,115.523
binkar10_1,6637.188026943755,119.188
bjorn1,687.1380958416123,121.789
bl15_t,32220.0,229.375
blend2,6.915675114009085,111.547
bley_xl1,154.39020000000008,598.762
blp-ar98,5891.22658029485,168.824
blp-ic97,3846.358667053333,145.523
blp-ic98,4331.168352598078,163.750
blp-ir98,2235.20232309619,135.270
BMOIPR2,-46628940.711140774,154.203
bnatt400,0.0,147.895
bppc4-08,51.58999999999999,120.207
bppc6-02,108.33999999999996,156.750
bppc6-06,200.6333333333333,135.691
bppc8-02,486.5,111.691
bppc8-09,444.4360465116279,113.965
br1,54.9,123.828
br3,102.59999999999997,132.355
br5,380.9,188.316
brasil,2208.7083333333326,125.984
BrazilInstance2,3.9999999999999036,155.645
buildingenergy,33246.215058898524,543.977
c10400,5591.103878905595,120.824
c20400,4774.150442476892,123.613
cap6000,-2451537.3250240455,131.148
cargo_07,0.0,147.281
cdc7-4-3-2,-381.0000000000002,273.914
cdma,-6.382890198082084e+16,168.625
chromaticindex1024-7,3.0,319.102
chromaticindex128-5,3.0000000000000004,146.703
chromaticindex512-7,2.999999999999999,236.512
circ10-3,140.0,192.488
ci-s4,4.963809137330339,170.148
cl_06_020_03,184.12333333333336,155.004
cl_06_020_09,175.89666666666656,152.109
cl_08_020_01,484.01515151515144,116.988
cl_08_020_03,441.4733333333334,119.113
cl_08_020_04,444.8941798941799,118.496
cl_08_020_06,474.5652173913043,117.574
cl_08_020_07,338.71296296296305,119.719
cl_08_020_10,310.62,120.023
cmflsp40-36-2-10,61740119.88886102,193.156
cmflsp50-24-8-8,54633108.509346716,142.824
co-100,917102.2144266693,322.242
cod105,-18.285714285714278,135.680
comp05_2idx,0.0,162.266
comp07_3idx,0.0,490.582
comp09_3idx,0.0,238.684
comp11_2idx,0.0,137.371
comp12_3idx,3.0000000000000004,357.277
comp18_2idx,0.0,143.027
compact_abz5,859.0,117.992
core2536-691,688.4760340423479,180.148
core2586-950,935.9218205677992,159.562
core4284-1064,1054.0544912748428,207.508
core4872-1529,1509.718561053802,200.801
cost266-UUE,20161515.663928583,122.488
cov1075,17.142857142857146,113.781
cryptanalysiskb128n5obj16,0.0,327.117
csched008,171.0,120.551
csched010,332.4227272727273,118.379
cvs16r128-89,-127.99999999999817,128.207
cvs16r70-62,-69.9999999999992,124.902
d10200,12425.58300545183,127.582
d801600,97033.99999999993,283.395
da_BPWC_3_8_4,76.56730000000002,975.145
da_BPWC_3_8_4_pp,76.56729999999934,800.445
dale_L1-CTA,0.0,170.848
dano3_5,576.2316202745685,167.809
dano3mip,576.2316202745685,169.223
danoint,62.637280418450764,117.695
datt256,255.99999999999912,518.848
dc1c,1754946.8636381591,159.305
dc1l,1744591.6929417702,242.953
dcmst_v20a50d4,288.0534099616859,122.816
dcmulti,183975.53969317526,115.617
decomp1,-120.0,138.246
dfn-bwin-DBE,17890.946197714282,118.680
dfn-gwin-UUM,27467.257234726694,116.629
dg012142,757818.4801144676,127.723
disctom,-5000.000000000001,132.105
dolom1,6556066.068315313,156.055
draw-gemcutter,1340.0,113.625
draw-product,4217.0,120.555
drayage-25-27,26785.79704284667,137.195
ds-big,86.82006842337762,484.867
dsbmip,-305.19817500948193,119.445
ds,57.234565259439286,291.602
dt_optimization,201.8539041101264,177.957
dws012-03,1469.6000000000001,243.344
e20100,8359.582040205076,115.809
e40400,44523.42860497672,135.332
eil33-2,811.2789961228071,125.578
eilA101-2,803.3738883297608,317.121
eilA76,828.7084130540892,116.090
eilB101.2,1066.5866355547696,249.508
eilB101,1075.2476907784417,121.969
eilB76,1021.1851707445115,116.145
eilC76-2,725.7544578514297,205.770
eilC76,732.0147501303672,117.945
eilD76.2,672.5465467573284,220.766
eilD76,680.5389965303522,118.484
ej,1.0,113.152
enigma,0.0,111.531
enlight14,0.0,112.051
enlight_hard,0.0,112.715
ensemble1,-2677.0066006600655,150.895
erd_FMAS12_1st_phase,26953.0,165.871
etDecsiDeenpDeeltEa,0.0,163.926
eva1aprime5x5opt,-497.24772933423293,160.285
eva1aprime6x6opt,-495.49242973392836,229.352
ex1010-pi,220.6700870448367,167.512
ex10,100.00000000000055,869.430
ex9,81.00000000000007,455.434
exp-1-500-5-5,28427.048404552133,116.922
f2000,1330.999999999985,160.020
f2gap201600,76429.86229621104,115.961
f2gap401600,82274.2374341957,116.277
f2gap40400,20650.898153963255,111.078
f2gap801600,86570.12086656285,116.449
fast0507,172.1455666765488,216.262
fastxgemm-n2r6s0t2,27.0,117.668
fastxgemm-n3r22s4t6,83.99999999999997,435.953
fhnw-binpack4-4,0.0,113.488
fhnw-binpack4-77,0.0,130.094
fhnw-binschedule0,12632.888779144958,707.809
fhnw-binschedule1,33392.8946140491,1709.141
fhnw-binschedule2,1706.8862544362544,150.914
fhnw-schedule-paira100,-36.643680874092354,136.078
fhnw-schedule-paira400,-146.9410786111565,434.258
fhnw-schedule-pairb200,-73.8264792090405,253.930
fhnw-schedule-pairb400,-146.9410786111565,640.949
fhnw-schedule-slot-200,-73.8264792090405,235.219
fhnw-sq2,0.0,116.316
fiball,137.06916764361077,166.012
fiber,156082.5175925926,117.715
fixnet6,1200.884,114.652
flugpl,1167185.7255923203,113.355
Forum-21b6b8af-1736-4383-aa06-634a568ed3f5,1.4623407373999284,158.117
Forum-e7dc26bf-753c-4e8e-a07b-63d9a200bc58,-76799.99999999997,136.746
g.31.8,-27.0,216.918
gen-ip002,-4840.541961300888,114.242
gen_ip_003,-2617.390732677057,111.691
gen_ip_004,15560.303483073623,112.566
gen_ip_005,-8154.836920304866,113.480
gen-ip016,-9505.6281727603,113.754
gen_ip_017,3698.118462984541,113.223
gen_ip_018,3828.4067022922045,113.344
gen_ip_023,-6684.0117994654875,111.875
gen_ip_024,-8801.481745889316,112.809
gen_ip_025,-691.0942856840405,112.754
gen_ip_026,-22183.636163396615,113.766
gen_ip_027,-4338.606963602783,112.859
gen_ip_028,-15586.545705640205,112.344
gen_ip_029,-2963.635371957432,111.484
gen_ip_031,-3853.7694434557384,113.176
gen_ip_032,2213.6620271493407,111.484
gen_ip_034,-33249.75691978972,112.199
gen_ip_035,-9091.735513807036,113.309
gen-ip036,-4632.298152873464,112.605
gen_ip_037,-760.1174661342742,112.117
gen_ip_038,-8862.40393395416,113.844
gen_ip_039,2849.4123638986225,113.340
gen_ip_040,2317.9135429676257,112.191
gen_ip_041,8632.789490293586,114.047
gen_ip_042,-10212.62414830849,113.898
gen_ip_046,8295.854463356625,111.844
gen_ip_050,-5280.8518341124345,113.629
gen_ip_052,-2960.9376457649187,111.875
gen-ip054,6765.209042644034,111.957
gen_ip_056,5257.397105048657,111.754
gen_ip_058,-6605.220638380949,114.180
gen_ip_059,5310.650686167353,114.070
gen_ip_062,-10526.263089095593,112.043
gen_ip_066,-2332.006389587271,114.180
gen_ip_068,-5559.429150371546,113.227
gen_ip_071,2218.337478908916,111.848
gen_ip_072,3021.9840408787945,112.168
gen_ip_076,-6023.494884167268,112.746
gen_ip_077,-5931.32331817741,113.258
gen_ip_080,844.0436754144787,113.500
gen_ip_081,812.984965313456,111.605
gen,112130.04066386049,116.809
genus-sym-g62-2,-54.0,266.164
ger50-17-ptp-pop-3t,3466.323206884063,123.902
ger50-17-trans-pop-3t,3456.2529224828645,155.812
germanrr,45980135.41639882,165.828
germany50-DBM,438028.0,136.645
gesa2-o,25476489.678122617,118.906
gesa3,27833632.450665344,119.152
gfd-schedulen180f7d50m30k18,1.0,768.098
glass4,800002400.0,111.934
glass-sc,14.080295856534109,119.223
gmu-35-40,-2406943.5563428816,116.348
gmu-35-50,-2608070.3157430077,117.684
gmut-75-50,-14182312.66173132,289.398
gmut-76-50,-14173884.188063154,272.590
