instance,algsetting,result
116_205_1262_66,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,2908.39
121_147_1345_33,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,1048.09
121_147_1345_33_pp,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,633.69
2club200v15p5scn,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.63
30_70_45_05_100,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,55.36
30n20b8,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.14
A-1,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.21
a2864-99blp,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,8000.0
a2c1s1,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.04
A-2,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.33
A-4-cuts,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,20.77
A-5,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,77.02
academictimetablebig,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,254.88
academictimetablesmall,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,5.4
acc-tight2,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.22
acc-tight4,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.6
acc-tight5,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.61
adult-max5features,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,87.2
air03,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.12
air04,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.85
air05,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.24
allcolor10,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,4.97
allcolor58,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,264.75
app1-1,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.1
ash608gpia-3col,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,2.79
assign1-10-4,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.47
atlanta-ip,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,18.33
atm20-100,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.14
attfInst2,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.24
attfInst3,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.27
attfInst4,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.97
attfInstA,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.12
attfInstC,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,3.05
attfInstD,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,4.49
australia_ABS_L1-CTA,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.21
b2c1s1,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.08
bab1,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,1.4
bab2,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,77.1
bab3,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,167.33
bab5,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,1.65
bab6,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,35.06
bacasp,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.35
berlin_5_8_0,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.02
biella1,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,1.55
bjorn1,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.04
bl15_t,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,2.25
bley_xl1,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,11.63
blp-ar98,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.29
blp-ic97,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.18
blp-ic98,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.25
blp-ir98,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.11
BMOIPR2,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.31
bnatt400,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.09
bppc6-02,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.41
bppc6-06,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.37
br3,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,1.24
br5,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,4.59
BrazilInstance2,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,19.51
buildingenergy,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,337.43
c20400,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.04
cap6000,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.05
cargo_07,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,0.18
cdc7-4-3-2,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,8000.0
cdma,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,325.28
chromaticindex1024-7,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,361.84
chromaticindex128-5,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,2.03
chromaticindex512-7,crash-idiot5-dualp-pesteep-psi--1.0-pertv-70-duals,81.46
